Section	Control	Moderate Level 4	Moderate Level 5	Moderate Level 6	High Level 4	High Level 5	High Level 6	Requirement	Related	Parameters
5.10.1.2								Internal CAP (ICAP)		
5.10.1.2-Impact_levels_245								Internal CAPs (ICAPs) will be implemented for on-premises commercially owned and operated CSO connectivity to the DISN, if the CSO management plane has connectivity to external networks that bypasses native NIPRNet enclave and external boundary (IAP) protections. As such all NIPRNet (or other unclassified COI network) production traffic to and from on-premises commercially owned and operated CSP infrastructure serving Level 2, 4 and 5 missions and the mission virtual networks must traverse an ICAP. An ICAP is a DISN boundary consisting of a cybersecurity stack that protects the DISN (or other DoD network) or the datacenter network to which the CSO is connected (inside/protected side of the boundary) from, and provides detection of, unauthorized network access from the CSP’s infrastructure (outside/unprotected side of the boundary), externally connected CSO management plane, CSP corporate networks, CSP connections to the internet, and from compromised mission owner systems/applications and virtual networks. Typically, one ICAP is required for each physical CSO infrastructure instance. An ICAP is required to mitigate vulnerabilities and risks associated with implementing a commercial CSP’s CSO infrastructure on-premises (i.e., located inside the B/C/P/S physical or virtual “fence-line.”) when, as expected, that infrastructure is managed by the CSP from their off-premises corporate CSO management centers using non-DoD controlled workstations and infrastructure which will most likely have some connectivity to the CSP's corporate network and/or the internet. The connection between the CSO management centers and the on-premises CSO’s management plane is expected to traverse an IPsec tunnel across NIPRNet, its IAPs, and internet OR traverse a dedicated “side-door” connection using a dedicated circuit, a commercial carrier's Private IP VPN service, or restricted internet service provider (ISP) connection. ISP connections, across which the CSP must VPN, must not provide inbound or outbound access to/from CSO management plane to/from the open internet. This requirement also applies if the CSO management plane is locally dedicated to the CSO and managed on-premises, but with an external connection to the CSP’s corporate network, or similar. The ICAP will be configured to pass authorized production traffic (i.e., required protocols and services on their approved IP Ports) for those mission applications using the CSO while blocking all access to DISN or the datacenter network to which the CSO is connected from the CSO management plane. The architecture of ICAPs may vary and will be developed based upon the location of the CSO infrastructure on the BCPS, existing infrastructure, and other factors. An ICAP minimally consists of a firewall and IDS functions but may leverage current capabilities in the cybersecurity stack, Joint Regional Security Stack (JRSS), or future technology such as JIE core data center.  On the other hand, an ICAP may have special capabilities to support specific missions, CSP types (commercial or DoD), or specific cloud services. Since the CSP infrastructure and ICAP are both on-premises directly connected to the NIPRNet or indirectly via a DoD data center network, the full suite of BCAP boundary protections are not needed. When using the cybersecurity stack protecting a DoD data center today (e.g., DECC) or JIE core data center in the future as an ICAP, the CSO must be connected in such a manner that both the DISN and datacenter network are protected from the CSO management plane. ICAP implementation and the connection of on-premises CSP infrastructure to the NIPRNet will follow normal NIPRNet connection approval guidance and requirements as is the case with any NIPRNet enclave or application infrastructure in a DoD data center. An ICAP is not required in the event the CSO is managed under the following conditions: • The CSO management plane is a closed network directly part of the CSO infrastructure having no side-door or back-door connections to non-DISN networks. OR • The CSO management plane is a NIPRNet enclave or part of one which only has connectivity to external networks such as the internet or CSP corporate network via, and visible to, the native NIPRNet boundary protections and IAPs. While CSP personnel may VPN to their corporate network from their workstation, a point-to-point VPN may not be established between the CSP’s network and the CSO management plane. The latter will require the establishment of an ICAP. Additionally: • CSP personnel manage the CSO from a location on a DoD installation/BCPS. • The CSP personnel are issued GFE from which they perform their CSO management duties if these workstations can access the NIPRNet. • CSP personnel may not use the same GFE to manage the CSO as is used to perform general business functions such as email or those that might require surfing the internet. • The CSP personnel are issued CAC cards for installation/BCPS access and access to their GFE and NIPRNet. Figure 5-10 notionally depicts the method by which on-premises DoD private CSO infrastructure is connected to NIPRNet when the CSO is managed from a contractor’s off-premises management plane. This may apply to COCO or GOCO CSO infrastructures. It supports the topics discussed in Section 5.10.1.2. The following are important takeaways from the diagram: • If the on-premises (private) CSO infrastructure is managed from an off-premises nonNIPRNet CSO management plane or contractor enclave an ICAP is required. This is due to the likely connection to a corporate network, both of which may have one or more connections to the internet. • Connection from the off-premises CSO management plane to the CSO infrastructure may be via an encrypted tunnel that traverses the IAP, NIPRNet, data center boundary (if inline), and the ICAP, OR via a direct “side door” connection (i, e., direct circuit or dedicated ISP connection). • NIPRNet users accessing DoD services from the internet including those based in the cloud will VPN into the NIPRNet to access these services. • Non-DoD and public users accessing DoD IFAs from the internet will do so via the IAPs (and DoD DMZ as applicable). This includes authenticated users of DoD IFAs. • Non-DoD mission partner networks accessing DoD services, whether cloud based or not, access the NIPRNet via the NIPRNet Federal/Mission Partner gateway(s). Access to the CSO for their own use will be the same as the Non-DoD customer’s network.  Figure 5-11 notionally depicts the method by which on-premises DoD private CSO infrastructure is connected to NIPRNet when the CSO is managed from an on-premises management plane. This is in contrast to being managed from an off-premises management plane. The following are important takeaways from the diagram: • ICAP is not needed if CSO management is performed from an on-premises NIPRNet enclave. • (Not depicted) In the event the CSO infrastructure is directly connected to the NIPRNet, a datacenter enclave boundary must be provided. 		
5.10.1.3								Virtually On-Premises Architecture NIPRNet Level 4/5 The virtually on-premises concept is discussed above in Section 5.2.1.1, DoD Off-Premises vs. On-Premises vs. Virtually On-Premises. Figure 5-12 provides the graphical depiction of the architecture.  Figure 5-12 notionally depicts the method by which a virtually on-premises architecture can be achieved. The following are important takeaways from the diagram: • The CSO infrastructure is DoD private in a closed NIPRNet enclave that is off-premises. • DISN transport is extended to this enclave optionally via a meet-me point. The use of a meet-me point may invoke additional traffic separation requirements depending on the specific off-premises location in relation to the meet-me location and if the hosting parties’ network is used. • The CSO network enclave is protected with DoD NIPRNet datacenter enclave protections or equivalent to include enclave firewall and ID/PS. • The DoD private CSO infrastructure is managed from the same or another properly protected NIPRNet enclave. • No management of the private CSO infrastructure may be performed from the CSP’s management plane used for any other CSO offered. No such connection is permitted in this scenario. Any connection between the private CSO infrastructure and a non-dedicated management plane enclave negates the virtually on-premises construct and requires the connection to the NIPRNet to traverse a BCAP.		
5.10.1.4								SIPRNet ICAP In accordance with CNSS architectural recommendations for the National Secret Fabric, DoD Secret enclaves and virtual networks instantiated in DoD on-premises impact level 6 CSOs will be considered as an enclave within the DoD provider network, (i.e., the SIPRNet). Since DoD on/off-premises impact level 6 CSOs and their supporting infrastructure, to include management network(s) are required to be one or more closed SIPRNet enclaves, they can be considered to be on-premises (physically or virtually) for the purposes of this CC SRG due to the concept of extending the virtual “fence-line” or SIPRNet boundary around such DoD enclaves. As such these enclaves must comply with all SIPRNet connection approval requirements which include the appropriate enclave boundary protections and cyberspace defense requirements. The DoD mission owner systems/applications instantiated in these impact level 6 CSO enclaves will be assessed and authorized the same way any other DoD SIPRNet enclave connection ICAPS are required as they are for NIPRNet connections to CSOs. The following diagrams depict the SIPRNet architectures for connecting CSOs and their management enclaves to SIPRNet. Figure 5-13 notionally depicts the method by which an on-premises IL6 CSO would be connected to SIPRNet. The following are important takeaways from the diagram: • The management plane is also on SIPRNet within the same or another SIPRNet enclave. • ICAP is required. • Non-DoD mission partners or other federal agencies will access the CSO via the SIPRNet mission partner gateway. • In the event the CSO is managed from a SIPRNet enclave not collocated with the CSO infrastructure, connections to the CSO will be via the SIPRNet mission partner gateway or the CSP may institute a private connection using black transport.		
5.10.1.5								Mission Partner Environments or Communities of Interest Network Cloud Access Points For the purpose of this CC SRG, mission partner refers to DoD components, federal agencies, and potentially their contractors operating networks that include DoD and other entities. This section does not include or refer to war fighting coalition partners or the networks they use or are implemented for them. Coalition networks may be addressed in a future release of the CC SRG, however the use of cloud computing on these networks should be implemented in the same manner as this CC SRG provides for NIPRNet or SIPRNet to include BCAPs and ICAPs depending on the classification level of the network. Mission partner environments (MPEs) include mission partners that use networks other than NIPRNet or SIPRNet (e.g., DREN) and mission partner communities of interest (COI) that use network overlays and extensions that leverage (e.g., ride on or overlay) the NIPRNet or SIPRNet (e.g., MilCOI). Additionally, DoD component mission partners (e.g., commissaries; exchanges; morale, welfare and recreation (MWR) organizations; non-appropriated fund (NAF) organizations; educational entities (e.g., National Defense University (NDU)) typically operate networks that may not be part of the DISN (i.e., do not use DISN transport or NIPRNet services such as internet access via the NIPRNet IAPs) or .mil domain. These mission partners and their networks may be in the .gov/.org/.com/.edu domains and may be directly accessed from the internet through a boundary similar to a DoD IAP which they operate and authorize or a contracted third-party DHS/GSA trusted internet connection (TIC). Such other networks and COI may interconnect with NIPRNet or SIPRNet and may interconnect with other DoD and Non-DoD mission partner/agency networks. While the CAP concepts presented here are applicable to non-native DISN networks operated by other DoD components (e.g., the .edu community which supports a diverse non-DoD user base) there may be other methods of protecting these networks from risks associated with the use of commercial cloud. The use of a cloud access security broker (CASB) service having minimally a FedRAMP moderate PA might be one such alternative for non-DISN networks. MPEs that use network(s) other than NIPRNet or SIPRNet (e.g., DRSN), will need to implement BCAPs or ICAPs for those network(s) that provide equivalent protections to those defined in the SCCA Functional Requirements Document (FRD)76 when connecting CSP infrastructure to their networks. MPEs implemented as a COI overlay on NIPRNet or SIPRNet can use the DISAprovided CAPs to fulfill the CAP requirement or may provide their own CAP capability IAW the SCCA. Mission partners that are external to NIPRNet or SIPRNet, however, are responsible for providing an equivalent capability to protect DoD data and MPEs from vulnerabilities associated with a connection to an external service provider. All MPE CAP instantiations must be approved by the DoD CIO. Note: MPE network connectivity/access to off-premises commercial DoD level 4/5 CSOs will not traverse a NIPRNet BCAP or a NIPRNet federated gateway (NFG) when connecting to/accessing MPE applications instantiated in such a CSO.		
5.10.1.6								Mission Partner Environment Access to NIPRNet Services Hosted in the Cloud Mission partner environments that require access to NIPRNet services are required to connect to NIPRNet via the internet, IAPs, and DoD DMZ or via a NIPRNet federated gateway (NFG) IAW JFHQ-DODIN TASKORD 16-0103 Establishment of the NIPRNET federated gateway (NFG). NIPRNet services are applications operated by DoD components for the purpose of serving NIPRNet users. Some of these NIPRNet focused applications might be implemented in a CSO. Such a CSO might be commercial off-premises CSO, a DoD private off-premises CSO, or a DoD private on-premises CSO. Mission partners that desire or require access to such applications must coordinate with the mission owner of the application for permission to access it and to determine the best access method. There are three approved methods of accessing such an application as follows: • The MPE user must establish a VPN connection to NIPRNet or the application itself. • The mission owner must expose the application to the internet through the DoD DMZ such that the MPE user can access the application from the internet via the IAPs. • The mission owner must expose the application to the MPE network and MPE users through the NFG. 		
5.10.1.7								Mission System Connection Approval through DISN BCAPs		
5.10.1.7-Impact_levels_45								Connection of a mission system to the DISN via an ICAP or BCAP will be approved and recorded by the DISA Connection Approval Office in accordance with normal connection approval procedures. This requires all mission owners to register all cloud based applications, their CSP/CSO, and connection method in the DISA Systems/Network Approval Process (SNAP)77 database cloud module. Initial connections (physical or virtual) to a CSP’s network will occur during onboarding of the CSP’s first mission owner customer. Additional connections will be made or capacity will be scaled as more mission owners use the given CSP. Specific processes and procedures regarding connection approval and mission owner connections via a BCAP are addressed in the DISA Cloud Connection Process Guide (CCPG)78 which will ultimately be merged with the overall DISN Connection Process Guide (CPG)79.		
5.10.1.7-Impact_level_6								The DoD mission owner systems/applications instantiated in these impact level 6 CSO enclaves will be assessed and authorized the same way any other DoD SIPRNet enclave connection IAW the DISA CPG. Approval for connection to the SIPRNet will be processed through the DISA classified connection approval process like any other SIPRNet enclave.		
5.10.2								Network Planes A plane, in a networking context, is one of three integral components of network architectures. These three elements – the data synchronization/control or network plane, the user/data or production plane, and the management plane – can be thought of as different areas of operations. Each plane carries a different type of traffic and is conceptually an overlay network on top of the network plane.		
5.10.2.1								Network Plane Connectivity The network or data sync/control plane carries signaling traffic and data replication between servers/data centers. Network control packets originate from or are destined for a network transport device (virtual or physical). The network plane in general is subject to network related DoD SRGs and STIGs. This CC SRG does not contain additional requirements related to network plane connections to the cloud computing infrastructure.		
5.10.2.2								User/Data Plane Connectivity The user/data plane (also known as the forwarding plane, carrier plane, or bearer plane) carries the network user traffic. Table 5-4 details the DoD user/data plane connectivity by impact level for DoD on-premises and off-premises CSOs. Note: While this table does apply to non-DoD federal government tenants using a DoD onpremises CSO, it does not apply to non-DoD federal government tenants using an off-premises CSO that is a federal government community cloud having DoD tenants.		
Table 5-4	Impact Level 2							Off-Premises Non-DoD CSP Service Offering Infrastructure  User connectivity will leverage commercial infrastructure (i.e., internet).  Users connecting from the internet will connect directly while users connecting from inside the DISN (i.e., NIPRNet) will connect to the internet via the DISN IAPs and then to the CSP infrastructure.  CSO connections will be assessed and authorized using the same external connection requirements as any other internet-facing connection. On-Premises DoD and Non-DoD CSP Service Offering Infrastructure  User connectivity will use existing infrastructure (Government owned) for its user/data plane when the user is within the B/P/C/S fence-line (onpremises) and directly connected to the local Base Area Network (BAN) and NIPRNet.  User traffic to/from the NIPRNet to/from the CSO infrastructure will traverse an ICAP. When the user is outside the B/P/C/S fence-line (offpremises) connected to the internet, user traffic must enter/leave the NIPRNet via the DISN IAPs and then an ICAP.  CSO connections will be assessed and authorized the same as any other internal connection.		
Table 5-4	Impact Level 4 and 5							Off-Premises Non-DoD CSP Service Offering Infrastructure  DoD and external user connectivity will leverage a DISN extension to the commercial facility using government network infrastructure within government boundaries (i.e., NIPRNet) and commercial infrastructure beyond government boundaries (i.e., commercial carrier infrastructure/connectivity service offerings).  The DISN extension will traverse a BCAP.  Users connecting from inside the DISN (i.e., NIPRNet) will connect via a BCAP while users connecting from the internet will traverse the IAPs then a BCAP. CSO connections will be assessed and authorized through the Connection Approval Process the same as any other internal connection using the same requirements as any other DoD-facing or internet-facing connection. On-Premises DoD and Non-DoD CSP Service Offering Infrastructure  User connectivity will use existing infrastructure (Government owned) for its user/data plane when the user is within the B/P/C/S fence-line (onpremises) and directly connected to the local Base Area Network (BAN) and NIPRNet.  User traffic to/from the NIPRNet to/from the CSO infrastructure will traverse an ICAP. When the user is outside the B/P/C/S fence-line (offpremises) connected to the internet, user traffic must enter/leave the NIPRNet via the DISN IAPs and then an ICAP.  CSO connections will be assessed and authorized the same as any other internal connection.		
Tabel 5-4	Impact Level 6							Off-Premises Non-DoD CSP Service Offering Infrastructure  User connectivity will leverage a DISN extension to the commercial facility using government Secret network infrastructure within government boundaries (i.e., SIPRNet) and commercial infrastructure beyond government boundaries (i.e., commercial carrier infrastructure/connectivity service offerings).  The DISN extension to a commercial facility can be accomplished with a Multiprotocol Label Switching (MPLS) router and optical switch (referred to as a Service Delivery Node).  The DISN extension to a commercial facility will use NSA Type 1 encryption or commercial equivalent (Commercial Solutions for Classified Programs (CSfC)80 Suite B).  User traffic to/from the internet (e.g., executive travel kits users) will use NSA Type 1 encryption or commercial equivalent (CSfC Suite B) and must enter/leave the SIPRNet via the approved gateways. On-Premises DoD and Non-DoD CSP Service Offering Infrastructure  User connectivity will use existing Secret network infrastructure (Government owned) for its user/data plane (i.e., SIPRNet). User traffic to/from the SIPRNet will traverse an ICAP.  User traffic to/from the internet (e.g., executive travel kits users) will use NSA Type 1 encryption or commercial equivalent (CSfC Suite B) and must enter/leave the SIPRNet via the approved gateways.  CSO connections will be assessed and authorized the same as any other internal connection using the same requirements as any other SIPRNet - facing connection.		
5.10.2.3								Management Plane Connectivity The management plane carries network/server/system privileged user (administrator) traffic along with maintenance and monitoring traffic. Table 5-5 details the management plane connectivity by impact level for Mission Owner’s systems/applications and CSP’s CSOs. The mission owner management plane includes connectivity for DoD personnel or DoD contractors managing mission owner systems (i.e., virtual machines and networks) instantiated on IaaS/PaaS as well as for DoD personnel or DoD contractors access to/use of CSP service ordering/management portals for all service offering types (IaaS/PaaS/SaaS). The CSP management plane includes connectivity for CSP personnel managing the CSP’s service offering infrastructure. All encryption identified, except as stated otherwise, must be accomplished using FIPS 140-2 or FIPS 140-3 validated cryptography modules operated in FIPS mode. IAW standard practice and security requirements, management interfaces on VMs and protective appliances (virtual or physical) located in a mission owner’s virtual network, must not be exposed to direct access from the production network (e.g., internet or NIPRNet/SIPRNet). To the extent possible, CSP service ordering/management portals through which VMs and virtual networks are instantiated and configured must also be protected from direct access from the production network to prevent compromise of mission systems and DoD information. All management transactions must be audited.		
Table 5-5	Impact Level 2							Mission Owner Management Plane  Management connectivity from outside the NIPRNet (e.g., for offpremises contractor personnel) requires an encrypted, tunneled connection via the internet to the mission system/application and virtual network. Management traffic to CSP service ordering/service management portals must be encrypted if not in an encrypted VPN. Monitoring traffic must traverse a VPN connection. All traffic entering/leaving the NIPRNet must be via the DISN IAPs.  Management connectivity from inside the NIPRNet (e.g., for onpremises DoD or contractor personnel) must be restricted to a defined set of IP addresses and requires an encrypted, tunneled connection through the NIPRNet to the internet via the IAPs to manage the mission system/application and virtual network. Management traffic to CSP service ordering/service management portals must be encrypted if outside an encrypted VPN. Monitoring traffic must traverse a VPN connection. All traffic must enter/leave the NIPRNet via the DISN IAPs. CSP Management Plane  Non-DoD CSP off-premises service offering infrastructure and offpremises management: CSP management connectivity leverages CSP service offering and management plane infrastructure which should be logically or physically separate from production. Note: DoD cannot dictate how a CSP architects their commercial service offerings that are not dedicated to DoD. DoD recommends logical or physical separation of service offering production and management plane infrastructure as a well-known industry best practice. Such separation will be assessed as a bullet point for DoD risk acceptance.  Non-DoD CSP on-premises service offering infrastructure and management: The CSP may directly connect their management infrastructure to their service offering infrastructure if collocated. An encrypted, tunneled connection from the CSP’s on-premises management infrastructure to the service provider’s on-premises service offering infrastructure is also permitted locally but must be used to access remote service offering infrastructure.  Non-DoD CSP on-premises service offering infrastructure and offpremises management: CSP management connectivity must leverage an encrypted, tunneled connection from the CSP’s off-premises management infrastructure to the service provider’s on-premises service offering infrastructure.  DoD CSP on-premises service offering infrastructure and management: CSP management connectivity will use existing infrastructure such as the Enterprise Services Directorate (ESD) Out of Band (OOB) management network. No service provider security stack is required.		
Table 5-5	Impact Level 4 and 5							Mission Owner Management Plane  Management connectivity from inside the NIPRNet must be restricted to a defined set of IP addresses and requires an encrypted, tunneled connection through the NIPRNet and an ICAP or BCAP to manage the mission system/application and virtual network. Management traffic to CSP service ordering/service management portals must be encrypted if not in an encrypted VPN. Monitoring traffic must traverse a VPN connection. All traffic must enter/leave the NIPRNet via a BCAP.  Management connectivity by DoD personnel or DoD contractors from outside the NIPRNet must be restricted to a defined set of IP addresses and requires an encrypted, tunneled connection from the Internet via an IAP and an ICAP or BCAP to the mission system/application and virtual network. Per remote administration policy, the remote management terminal must be government furnished equipment (GFE). Management traffic to CSP service ordering/service management portals must be encrypted if outside an encrypted VPN. Monitoring traffic must traverse a VPN connection via a BCAP and NIPRNet. CSP Management Plane  Non-DoD CSP off-premises service offering infrastructure and offpremises management: CSP management connectivity leverages CSP service offering and management plane infrastructure which should be logically or physically separate from production. Note: DoD cannot dictate how a CSP architects their commercial service offerings that are not dedicated to DoD. DoD recommends logical or physical separation of service offering production and management plane infrastructure as a well-known industry best practice. Such separation will be assessed as a bullet point for DoD risk acceptance.  Non-DoD CSP on-premises service offering infrastructure and management: The CSP may directly connect their management infrastructure to their service offering infrastructure if collocated. An encrypted, tunneled connection from the CSP’s on-premises management infrastructure to the service provider’s on-premises service offering infrastructure is also permitted locally but must be used to access remote service offering infrastructure.  Non-DoD CSP on-premises service offering infrastructure and offpremises management: CSP management connectivity must leverage an encrypted, tunneled connection from the CSP’s off-premises management infrastructure to the service provider’s on-premises service offering infrastructure.  DoD CSP on-premises service offering infrastructure and management: CSP management connectivity will use existing infrastructure such as the Enterprise Services Directorate (ESD) Out of Band (OOB) management network. No service provider security stack is required.		
Table 5-5	Impact Level 6							Mission Owner Management Plane  All management and monitoring connectivity is via the SIPRNet. Management and monitoring traffic will be encrypted using FIPS 140-2 or FIPS 140-3 validated cryptography81 to accommodate separation for Needto know reasons. CSP Management Plane  DoD CSP on-premises service offering infrastructure and management: CSP management connectivity will use existing Secret network infrastructure such as the Secret Out of Band (OOB) management network. No service provider security stack is required.  Non-DoD CSP on-premises service offering infrastructure and management: The CSP may directly connect their management infrastructure to their service offering infrastructure if personnel are collocated using their SECRET LAN. An encrypted, tunneled connection using FIPS 140-2 or FIPS 140-3 validated cryptography over SIPRNet from the CSP’s onpremises management infrastructure to the service provider’s on-premises service offering infrastructure is also permitted and will be used to access remote service offering infrastructure.  Non-DoD CSP on-premises service offering infrastructure and offpremises management: CSP management connectivity must leverage a SIPRNet extension or a DoD approved encrypted, tunneled connection from the CSP’s dedicated Secret off-premises management infrastructure to the service provider’s on-premises service offering infrastructure.  Non-DoD CSP off-premises service offering infrastructure and offpremises management: CSP management connectivity leverages CSP’s dedicated Secret service offering and management plane infrastructure which must be logically or physically separate.		
5.10.3								DoD uses the concept of defense-in-depth when protecting its networks and data/information. This includes, but is not limited to, hardening host OSs and applications, implementing host firewalls and intrusion detection, strong access control, robust auditing of events, while protecting the networks with application layer firewalls, proxies, web content filters, email gateways, intrusion detection/prevention, and a DMZ/gateway architecture, along with robust network traffic monitoring. The concept must not be lost when moving mission owners systems/applications and their data/information to the commercial cloud. As such, if virtualization is used, the above measures must also be used to protect the virtual environment along with the use of hypervisor based firewall/filtering/routing mechanisms or virtual security appliances. This section details the defense-in-depth security concepts and requirements that both CSPs and mission owners must implement to protect DoD data/information and mission systems/applications. DoD recognizes that there are innovative approaches that can be implemented in the virtual environment that may replace some of the defense-in-depth mitigations that have been developed over the years for physical networks and servers. DoD looks forward to evaluating equivalent alternative measures which will be assessed by DISA on a case-by-case basis.		
5.10.3.1								CSP Service Architecture - SaaS Mission owner use of CSP’s SaaS offerings are reliant on the defense-in-depth measures implemented by the CSP for the protection of the service application and the infrastructure that supports it. This includes the protection of all sensitive information stored and processed in the CSP infrastructure. In other words, the mission owner relies on the CSP and the security posture of its SaaS offering for the protection of DoD information. During the ATO assessment process for SaaS offerings, defense-in-depth security/protective measures must be assessed for adequacy and potential risk acceptance by DoD. This may be in addition to assessing security controls. The following guidance is reflected in the Application Security and Development STIG along with other operating system (OS) and application specific STIGs, but is highlighted here to emphasize instances where an authoritative reference (e.g., product-specific STIG) is not available. Due to the normal internet connectivity for CSOs, DoD expects defense-in-depth security/protective measures to be established by the CSP for P/SaaS CSOs where the mission owner does not have control of their infrastructure environment. These are, but are not limited to, the following: • Application Layer and Web application Firewall(s) (properly configured) and intrusion detection and/or prevention protection of the CSP’s infrastructure supporting the SaaS application offering, as well as segmentation (logical or physical) from the CSP’s other offerings and corporate networks. • Application/network tiered architecture which provides “front end” unrestricted/restricted DMZ zones with appropriate protections for internet/externally facing servers and private/ “back end” zones with appropriate protections for application/database servers and other supporting systems/servers. This includes but is not limited to web application firewalls, reverse web proxies, FTP proxies, etc. as necessary for the protection of the application and the customer’s data/information stored/processed within. Note: P/SaaS CSOs in which the mission owner does not have control of their infrastructure environment typically serve NIPRNet users, thus are NIPRNet-facing via the BCAP. It is recognized that some mission owners need a portion of their CSO application to be internet-facing. In such cases, the internet/NIPRNet-facing portion of the application must use a separate web server(s) and IP address(es) from those only facing the NIPRNet such that they can be whitelisted for access via the IAPs for access and protect the NIPRNet facing web server(s). Refer to Sections 5.10.4.1 IP Addressing of CSOs and Mission Owner Systems/Applications and 5.17.2 DoD DMZ Whitelist for additional information. Note: The internet-facing IP addresses will also be available for access from the NIPRNet. • Customer data-at-rest encryption protections using FIPS 140-2 or FIPS 140-3 validated cryptographic modules operated in FIPS mode where only the mission owner has control of the keys. This requirement addresses the persistent storage of customer data on various media and in databases, not customer data that requires real time processing without retention. If such data is retained, then the retained data storage is persistent. • Customer data-in-transit encryption protections using FIPS 140-2 or FIPS 140-3 validated cryptographic modules operated in FIPS mode. This requirement addresses customer data transiting public and private Wide Area Networks (WAN) (i.e., internet, NIPRNet, CSP’s WAN) and Local Area Networks (LANs) from the customer terminal to the CSP’s service offering enclave LAN. Encryption may be native at the protocol level or be at the VPN/tunnel level. This requirement is also applicable to CSP replication of customer data and systems between primary locations and backup Continuity of Operations (COOP)/Disaster Recovery (DR) locations. • Hardening/patching/maintenance of OSs and applications IAW industry standards. DoD SRGs and STIGS or DoD-accepted equivalents must be used if the service is private or community cloud used by DoD. For Information Assurance (IA) Vulnerability Management (IAVM) message compliance, the CSP will be expected to comply with industry best practice by applying patches identified in the CVE that would be referenced in the DoD IAVM message. Innovative alternatives such as implementing a behavioral based or software integrity protection model for all systems may be viable and will be assessed on a case-by-case basis. • Implement PIV/DoD CAC/PKI authentication for all customer user access on all SaaS offerings that process information at impact levels 4 and 5 in accordance with IA-2 (12). This includes regular non-privileged users accessing the service and privileged customer users accessing service ordering/management interfaces/portals. SaaS offerings that process information at impact Level 6 must use the CNSS SIPRNet Token. Alternate authentication measures for those user communities that cannot use the required PKI token will be assessed on a case-by-case basis and may require a waiver. Notes: • Equivalencies to the vulnerability mitigations provided in DoD SRGs and STIGS may be viable and acceptable but must be approved by the DISA AO. • IAVM messages include IA vulnerability alerts (IAVA), IA vulnerability bulletins (IAVB), and technical advisories (TA). For the remainder of this SRG, the term IAVMs will be used to refer to all IAVM message types.		
5.10.3.2								CSP Service Architecture - IaaS/PaaS Mission owners build systems and applications on virtualized infrastructure provided by the CSO under IaaS/PaaS. There must be a clear delineation of responsibility for security between the CSP and the mission owner, which depends on how the CSP presents the security features it supports in the CSO. Under IaaS the mission owner is fully responsible for securing the guest operating systems and applications that they build; the CSP will be responsible for securing the virtualization OS (i.e., hypervisor) and supporting infrastructure. Under PaaS, the mission owner is fully responsible for securing the guest operating systems and the platform applications and applications that they build. Depending upon how the CSP CSO presents the security features it supports in the CSO, the delineation of responsibility may partially shift from the mission owner to the CSP with respect to the guest operating systems and the platform applications. The CSP might take responsibility for securing these areas of a PaaS CSO as part of the core service or as an add-on component. For the purpose of the remainder of Section 5 of this SRG, IaaS and PaaS offerings are generally treated the same with the responsibility of securing the OS and platform applications being that of the mission owner. Mission owners must assess inherited mitigations that the CSP provides to determine that defense-in-depth security/protective requirements are fully met. CSP IaaS and PaaS offerings must support the defense-in-depth security/protective measures that the mission owner must implement to secure the systems and applications that they build on the service offering. These measures are defined in Section 5.10.6, Mission Owner System/Application Requirements using IaaS/PaaS.		
5.10.3.3								CSP Disaster Recovery (DR) - Continuity of Operations (COOP) As a best business practice, CSPs plan for Disaster Recovery (DR) and Continuity of Operations (COOP) and implement their infrastructures to support it. This typically includes geographically separate facilities/data centers. Furthermore, FedRAMP assess several C/CE related to Contingency Planning (i.e., DR and COOP). Data replication between CSP geographically separate facilities/data centers is typically required for disaster recovery (DR) and/or continuity of operations (COOP) which includes backup. All Data replication must traverse a CSP’s private internal network (physical or virtual) from CSP offering site/location to the DR/COOP facility and protect the data in transit. If this network traverses the internet, the network connection must be encrypted end-to-end in an IPsec tunnel implemented using FIPS 140-2 or FIPS 140-3 validated cryptography. Separation requirements implemented in the CSO between DoD data and non-DoD data at the CSP offering site/location must be replicated at the DR/COOP facility. Such separation is not specifically required in transit unless its implementation is required to support separation at the endpoint facilities. Note: For level 4/5 CSOs such transfers do not route through the DISN BCAP unless the DR/COOP facility is on-premises or is another CSP’s CSO. Related Controls: CP-6, CP-7, CP-9	CP-6,CP-7,CP-9	
